episode_id,published_date,title
e85e445a-85fc-48ab-8507-eaf0ced99072,4/30/2024,"AI Demos: Llama 3 Innovations, vibecheck, Globe Engineer, Wisdolia and Tesla’s FSD | E1941"
ca8faab3-b039-47c6-85a9-3e430528c5b0,4/29/2024,How AI and remote work is coming for your job | E1940
96a380e9-a7d1-428c-9347-7e27fcb152a0,4/26/2024,PodcastAI: Edward Brawer is here to be your podcast’s arms dealer! | E1939
0f7b6ff1-62e9-4319-8dc2-286fd909cbd7,4/26/2024,The power of super communication with Charles Duhigg | E1938
615b84d2-44d5-4c76-8c03-3f7312640ccf,4/25/2024,Ask Jason LIVE!: Navigating startup growth with Real-Time Q&A | E1937
215f919b-845b-4d5a-9593-860c29dbd7fa,4/23/2024,"AI Demos and News: Llama 3, Marblism, Lumona & AI Jet-Fighter Dogfights | E1936"
9b0c5bd4-9ec6-4ced-82af-d40206fc75ca,4/20/2024,AI Demos: Meta AI Ups it’s Game with Llama 3 | E1935
897994d8-b0a0-4ca4-b9c5-2e74e1c4a5f4,4/19/2024,"Redpoint Ventures and Stepstone Group on VC Deployment, M&A, and Google's AI Strategy | E1934"
e00c7094-c70b-4173-b9d3-0cfa6c0ea7d7,4/17/2024,Destiny (D/XYZ) and the Buzz Around Public Access to Private Companies | E1933
4753dd85-7cf2-4f20-a919-1bdf54e194f5,4/17/2024,Startup pitch competition! Jason invests $25K into one of three founders | E1932
